  1 2018-03-16 19:01:55.321223 2c:23:3a:3f:10:c3 -> LLDP_Multicast LLDP TTL = 121 System Name = cl6 System Description = HP Comware Platform Software, Software Version 7.1.045, Release 2418P01\r\nHP FF 5930-2Slot+2QSFP+Switch\r\nCopyright (c) 2010-2015 Hewlett-Packard Development Company, L.P.  2c:23:3a:3f:10:c3 -> 01:80:c2:00:00:0e
 97 2018-03-16 19:02:00.525777 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=96/24576, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 98 2018-03-16 19:02:00.525782 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=97/24832, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
 99 2018-03-16 19:02:00.525785 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=98/25088, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
100 2018-03-16 19:02:00.525789 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=99/25344, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
101 2018-03-16 19:02:00.525793 10.130.127.1 -> 10.130.127.2 ICMP Echo (ping) request  id=0x0e7c, seq=100/25600, ttl=64 90:e2:ba:24:cf:f4 -> 90:e2:ba:ab:01:5c
102 2018-03-16 19:02:00.528331 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=1/256, ttl=64 (request in 2) 00:00:00:00:01:00 -> 90:e2:ba:24:cf:f4
103 2018-03-16 19:02:00.528344 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=10/2560, ttl=64 (request in 11) 00:00:00:00:01:00 -> 90:e2:ba:24:cf:f4
104 2018-03-16 19:02:00.528351 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=45/11520, ttl=64 (request in 46) 00:00:00:00:01:00 -> 90:e2:ba:24:cf:f4
105 2018-03-16 19:02:00.528380 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=69/17664, ttl=64 (request in 70) 00:00:00:00:01:00 -> 90:e2:ba:24:cf:f4
106 2018-03-16 19:02:00.528397 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=2/512, ttl=64 (request in 3) 00:00:00:00:01:00 -> 90:e2:ba:24:cf:f4
107 2018-03-16 19:02:00.528402 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=46/11776, ttl=64 (request in 47) 00:00:00:00:01:00 -> 90:e2:ba:24:cf:f4
108 2018-03-16 19:02:00.528405 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=47/12032, ttl=64 (request in 48) 00:00:00:00:01:00 -> 90:e2:ba:24:cf:f4
109 2018-03-16 19:02:00.528412 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=20/5120, ttl=64 (request in 21) 00:00:00:00:01:00 -> 90:e2:ba:24:cf:f4
110 2018-03-16 19:02:00.528415 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=70/17920, ttl=64 (request in 71) 00:00:00:00:01:00 -> 90:e2:ba:24:cf:f4
111 2018-03-16 19:02:00.528439 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=11/2816, ttl=64 (request in 12) 00:00:00:00:01:00 -> 90:e2:ba:24:cf:f4
112 2018-03-16 19:02:00.528443 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=51/13056, ttl=64 (request in 52) 00:00:00:00:01:00 -> 90:e2:ba:24:cf:f4
113 2018-03-16 19:02:00.528445 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=21/5376, ttl=64 (request in 22) 00:00:00:00:01:00 -> 90:e2:ba:24:cf:f4
114 2018-03-16 19:02:00.528447 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=3/768, ttl=64 (request in 4) 00:00:00:00:01:00 -> 90:e2:ba:24:cf:f4
115 2018-03-16 19:02:00.528455 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=22/5632, ttl=64 (request in 23) 00:00:00:00:01:00 -> 90:e2:ba:24:cf:f4
116 2018-03-16 19:02:00.528471 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=48/12288, ttl=64 (request in 49) 00:00:00:00:01:00 -> 90:e2:ba:24:cf:f4
117 2018-03-16 19:02:00.528474 10.130.127.2 -> 10.130.127.1 ICMP Echo (ping) reply    id=0x0e7c, seq=49/12544, ttl=64 (request in 50) 00:00:00:00:01:00 -> 90:e2:ba:24:cf:f4
