  1 2018-03-08 18:27:47.202219 2c:23:3a:3f:42:9e -> LLDP_Multicast LLDP TTL = 121 System Name = cl3 System Description = HP Comware Platform Software, Software Version 7.1.045, Release 2418P01\r\nHP FF 5930-2Slot+2QSFP+Switch\r\nCopyright (c) 2010-2015 Hewlett-Packard Development Company, L.P.  2c:23:3a:3f:42:9e -> 01:80:c2:00:00:0e
 76 2018-03-08 18:27:47.716406    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=75/19200, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24,
 77 2018-03-08 18:27:47.716409    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=76/19456, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24,
 78 2018-03-08 18:27:47.716413    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=77/19712, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24,
 79 2018-03-08 18:27:47.716416    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=78/19968, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24,
 80 2018-03-08 18:27:47.716420    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=79/20224, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24,
 81 2018-03-08 18:27:47.716424    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=80/20480, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24,
 82 2018-03-08 18:27:47.716427    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=81/20736, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24,
 83 2018-03-08 18:27:47.716431    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=82/20992, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24,
 84 2018-03-08 18:27:47.716434    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=83/21248, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24,
 85 2018-03-08 18:27:47.716437    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x56d2, seq=84/21504, ttl=64 90:e2:ba:4b:fd:a4 -> 90:e2:ba:7e:5c:24,
