 99 2018-02-12 01:44:31.178269    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x51b6, seq=5/1280, ttl=63 (request in 93) 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
100 2018-02-12 01:44:31.178274    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x51b7, seq=14/3584, ttl=63 (request in 94) 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
101 2018-02-12 01:44:31.202111    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b6, seq=1/256, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
102 2018-02-12 01:44:31.202118 IntelCor_81:49:14 -> IntelCor_82:2c:7c ARP Who has 10.10.1.2?  Tell 10.10.1.1 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
103 2018-02-12 01:44:31.202135    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b6, seq=2/512, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
104 2018-02-12 01:44:31.202143    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b6, seq=3/768, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
105 2018-02-12 01:44:31.202147    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b6, seq=4/1024, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
106 2018-02-12 01:44:31.202150 IntelCor_82:2c:7c -> IntelCor_81:49:14 ARP 10.10.1.2 is at 90:e2:ba:82:2c:7c 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
107 2018-02-12 01:44:31.202151    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b6, seq=5/1280, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
108 2018-02-12 01:44:31.202261    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x51b6, seq=1/256, ttl=63 (request in 101) 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
109 2018-02-12 01:44:31.202279    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x51b6, seq=2/512, ttl=63 (request in 103) 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
110 2018-02-12 01:44:31.202285    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x51b6, seq=3/768, ttl=63 (request in 104) 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
111 2018-02-12 01:44:31.202290    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x51b6, seq=4/1024, ttl=63 (request in 105) 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
